#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
4,J0023+0923,111.383,-52.849,0.00305,*,327.868852,14.3,BT,0.14,0.035,UL,1,0.95,*,*,14.006
10,B0021-72H,305.896,-44.902,0.00321,-1.83E-21,311.493418,24.36,BT,2.3577,2.1528,He,4,2.49,*,*,6.243
17,J0024-7204P,305.895,-44.889,0.003643,*,274.497457,24.3,BT,0.1472,0.038,UL,4,2.49,*,*,*
19,J0024-7204R,305.895,-44.889,0.00348,*,287.318095,24.4,BT,0.0662,0.0334,UL,4,2.49,*,*,*
24,J0024-7204W,305.894,-44.89,0.002352,*,425.107892,24.3,BT,0.1329,0.2435,MS,4,2.49,*,*,*
26,J0024-7204Y,305.895,-44.889,0.002197,*,455.236586,24.2,BT,0.5219,0.6718,*,4,2.49,*,*,*26,J0024-7204Y,305.895,-44.889,0.002197,*,455.236586,24.2,BT,0.5219,0.6718,*,4,2.49,*,*,*
37,J0045-7319,303.514,-43.804,0.926276,4.46E-15,1.079592,105.4,BT,51.1695,174.2576,MS,59.7,2.55,3290000,222000000000000000000000000000000,*
49,J0101-6422,301.192,-52.72,0.002573,5.16E-21,388.628426,11.93,BT,1.7876,1.701,He,0.73,0.73,7900000000,12000000000000000000000000000000000,15.62
50,J0102+4839,124.932,-14.827,0.00296,*,337.837838,53.5,BT,1.67,*,He,4.03,4.03,*,*,*
84,J0214+5222,135.632,-8.423,0.024575,2.99E-19,40.691272,22.04,BT,512.0397,174.5658,He,1.21,1.21,1300000000,795000000000000000000000000000000,*
118,J0407+1607,176.618,-25.656,0.025702,7.9E-20,38.907873,35.65,BT,669.0704,106.4503,He,4.07,4.07,5150000000,184000000000000000000000000000000,*
157,J0514-4002A,244.514,-35.036,0.004991,1.17E-21,200.377707,52.15,BT,18.7852,36.2966,*,12.1,3.06,67500000000,372000000000000000000000000000000,*157,J0514-4002A,244.514,-35.036,0.004991,1.17E-21,200.377707,52.15,BT,18.7852,36.2966,*,12.1,3.06,67500000000,372000000000000000000000000000000,*
196,J0605+37,175.037,7.549,0.00273,*,366.300366,21,BT,55.6,*,He,1.16,1.16,*,*,*
199,J0610-2100,227.747,-18.184,0.003861,1.24E-20,258.978479,60.67,BT,0.286,0.0735,UL,5.64,5.64,4950000000,8470000000000000000000000000000000,13.038
206,J0614-3329,240.501,-21.827,0.003149,1.75E-20,317.594455,37.05,BT,53.5846,27.6388,He,1.02,2.96,2840000000,22200000000000000000000000000000000,*
209,J0621+1002,200.57,-2.013,0.028854,4.73E-20,34.657407,36.6,BT,8.3187,12.0321,CO,1.88,1.88,9660000000,77800000000000000000000000000000,3.513
239,B0655+64,151.551,25.237,0.195671,6.85E-19,5.110621,8.78,BT,1.0287,4.1256,CO,0.49,0.49,4520000000,3610000000000000000000000000000,10
246,J0721-2038,234.669,-2.922,0.015542,4.4E-20,64.340148,76.1,BT,5.4608,9.379,CO,3.87,3.87,5600000000,463000000000000000000000000000000,*
287,B0820+02,221.988,21.245,0.864873,1.05E-16,1.156239,23.73,BT,1232.404,162.1456,CO,1.44,1.44,131000000,6380000000000000000000000000000,5.099
