#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
1,J0006+1834,108.172,-42.985,0.693748,2.10e-15,1.441446,12.00,*,*,*,*,0.70,0.70,5.24e+06,2.48e+32,*
2,J0007+7303,119.660,10.463,0.315873,3.60e-13,3.165827,*,*,*,*,*,1.40,*,1.39e+04,4.51e+35,*
3,B0011+47,116.497,-14.631,1.240699,5.64e-16,0.805997,30.85,*,*,*,*,1.82,1.82,3.48e+07,1.17e+31,27.579
4,J0023+0923,111.383,-52.849,0.003050,*,327.868852,14.30,BT,0.1400,0.0350,UL[hrm+11],1.00,0.95,*,*,14.006
5,B0021-72C,305.923,-44.892,0.005757,-4.98e-20,173.708219,24.60,*,*,*,*,4.00,2.49,*,*,6.213
6,B0021-72D,305.881,-44.893,0.005358,-3.43e-21,186.651670,24.73,*,*,*,*,4.00,2.49,*,*,4.494
7,B0021-72E,305.883,-44.883,0.003536,9.85e-20,282.779107,24.23,ELL1,2.2568,1.9818,*,4.00,2.49,5.69e+08,8.79e+34,6.762
8,B0021-72F,305.899,-44.892,0.002624,6.45e-20,381.158664,24.38,*,*,*,*,4.00,2.49,6.44e+08,1.41e+35,5.438
9,B0021-72G,305.891,-44.893,0.004040,-4.22e-20,247.501525,24.44,*,*,*,*,4.00,2.49,*,*,5.597
10,B0021-72H,305.896,-44.902,0.003210,-1.83e-21,311.493418,24.36,BT,2.3577,2.1528,He[fck+03],4.00,2.49,*,*,6.243
11,B0021-72I,305.892,-44.893,0.003485,-4.59e-20,286.944700,24.42,ELL1,0.2298,0.0384,UL[fck+03],4.00,2.49,*,*,6.263
12,B0021-72J,305.909,-44.903,0.002101,-9.79e-21,476.046858,24.58,ELL1,0.1207,0.0404,UL[fck+03],4.00,2.49,*,*,6.350
13,B0021-72L,305.898,-44.888,0.004346,-1.22e-19,230.087746,24.38,*,*,*,*,4.00,2.49,*,*,*
14,B0021-72M,305.913,-44.877,0.003677,-3.84e-20,271.987229,24.42,*,*,*,*,4.00,2.49,*,*,*
15,B0021-72N,305.890,-44.897,0.003054,-2.19e-20,327.444319,24.56,*,*,*,*,4.00,2.49,*,*,6.888
16,J0024-7204O,305.897,-44.889,0.002643,3.04e-20,378.308788,24.36,ELL1,0.1360,0.0452,UL[fck+03],4.00,2.49,1.38e+09,6.49e+34,5.438
17,J0024-7204P,305.895,-44.889,0.003643,*,274.497457,24.30,BT,0.1472,0.0380,UL[clf+00],4.00,2.49,*,*,*
