#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
2453,J2144-3933,2.794,-49.466,8.509827,4.96E-16,0.117511,3.35,*,*,*,*,0.16,0.18,272000000,31800000000000000000000000000,166.301
546,J1232-4742,299.604,15.034,1.872994,1.4E-17,0.533904,26,*,*,*,*,1.4,1.4,2120000000,84100000000000000000000000000,*
108,J0343-3000,227.758,-52.338,2.597027,5.7E-17,0.385056,20.2,*,*,*,*,2.22,2.22,722000000,128000000000000000000000000000,*
756,J1503+2111,29.062,59.296,3.314002,1.4E-16,0.30175,11.75,*,*,*,*,0.72,0.72,375000000,152000000000000000000000000000,*
127,J0418+5732,147.979,5.119,9.078388,4.1E-15,0.110152,*,*,*,*,*,*,*,35100000,216000000000000000000000000000,*
331,J0919-6040,279.687,-7.774,1.216976,1E-17,0.821709,82.5,*,*,*,*,3.54,3.54,1930000000,219000000000000000000000000000,*
525,J1210-6550,298.774,-3.292,4.23701,4.31E-16,0.236015,37,*,*,*,*,1.58,1.58,156000000,224000000000000000000000000000,*
2444,J2136-1606,36.204,-43.554,1.227235,1.6E-17,0.81484,18.48,*,*,*,*,1.27,1.27,1220000000,342000000000000000000000000000,*
1507,J1801-1855,10.447,1.978,2.550498,1.82E-16,0.39208,484,*,*,*,*,11.91,11.91,222000000,433000000000000000000000000000,*
636,J1333-4449,310.774,17.403,0.345603,5.4E-19,2.893494,44.3,*,*,*,*,2.32,2.32,10100000000,516000000000000000000000000000,*
146,J0457-6337,273.816,-36.701,2.497012,2.1E-16,0.400479,27.5,*,*,*,*,2.94,2.94,188000000,532000000000000000000000000000,*
235,J0656-2228,233.655,-8.982,1.224754,2.67E-17,0.81649,32.39,*,*,*,*,1.79,1.79,727000000,574000000000000000000000000000,*
2150,J1915+0752,42.623,-1.614,2.058314,1.39E-16,0.485835,105.3,*,*,*,*,3.56,3.56,235000000,629000000000000000000000000000,*
1034,J1638-4344,340.191,2.081,1.121944,2.5E-17,0.89131,237,*,*,*,*,5.09,5.09,711000000,699000000000000000000000000000,*
613,J1320-3512,309.543,27.295,0.458488,1.9E-18,2.18108,16.42,*,*,*,*,0.93,0.93,3820000000,778000000000000000000000000000,*
1542,J1805-2447,5.807,-1.725,0.661402,5.82E-18,1.51194,269,*,*,*,*,4.79,4.79,1800000000,794000000000000000000000000000,*
1097,J1652-4406,341.564,-0.088,7.707183,9.5E-15,0.129749,786,*,*,*,*,8.8,8.8,12900000,819000000000000000000000000000,*
2027,J1901+1306,45.786,3.683,1.830857,1.31E-16,0.546192,75.03,*,*,*,*,3.53,3.53,221000000,843000000000000000000000000000,*
2325,B1952+29,65.924,0.772,0.426677,1.71E-18,2.343694,7.93,*,*,*,*,0.42,0.42,3950000000,869000000000000000000000000000,43.829
1833,J1840-1419,18.945,-4.118,6.597563,6.33E-15,0.151571,19.4,*,*,*,*,1.01,1.01,16500000,870000000000000000000000000000,*
97,B0320+39,152.18,-14.338,3.032072,6.36E-16,0.329807,26.17,*,*,*,*,2.61,2.61,75600000,900000000000000000000000000000,34
2316,J1951+1123,50.003,-7.738,5.094083,3.03E-15,0.196306,31.29,*,*,*,*,1.66,1.66,26600000,905000000000000000000000000000,*
1182,J1710-2616,357.859,8.029,0.954158,2E-17,1.048044,111,*,*,*,*,4.26,4.26,756000000,909000000000000000000000000000,*
1547,J1806-1920,10.641,0.802,0.879791,1.7E-17,1.136634,683,*,*,*,*,10.16,10.16,819000000,987000000000000000000000000000,*
76,B0153+39,136.369,-21.332,1.811561,1.52E-16,0.55201,60,*,*,*,*,4.85,4.85,189000000,1010000000000000000000000000000,*
1656,J1822-0848,21.828,2.262,2.504518,4.03E-16,0.399278,186.3,BT,286.8303,97.7279,He[lfl+06],4.19,4.19,98400000,1010000000000000000000000000000,*
1211,J1717-3953,347.655,-1.157,1.085521,3.3E-17,0.921217,466,*,*,*,*,6.88,6.88,521000000,1020000000000000000000000000000,*
1871,J1843+2024,50.444,10.846,3.406539,1.04E-15,0.293553,85.3,*,*,*,*,7.72,7.72,51900000,1040000000000000000000000000000,*
1123,J1700-3919,346.161,1.826,0.560504,5.03E-18,1.78411,354.3,*,*,*,*,6.34,6.34,1770000000,1130000000000000000000000000000,*
1767,J1834-1202,20.287,-1.743,0.610259,6.74E-18,1.638649,342.4,*,*,*,*,6.28,6.28,1430000000,1170000000000000000000000000000,*
2024,J1901+0621,39.687,0.756,0.832002,1.8E-17,1.20192,94,*,*,*,*,3.11,3.11,732000000,1230000000000000000000000000000,*
1047,J1641-2347,355.831,14.714,1.091008,4.11E-17,0.916583,27.7,*,*,*,*,1.33,1.33,421000000,1250000000000000000000000000000,*
976,J1625-4048,340.609,5.932,2.355278,4.43E-16,0.424578,145,*,*,*,*,5.18,5.18,84200000,1340000000000000000000000000000,*
342,J0932-3217,261.277,14.069,1.931627,2.5E-16,0.517698,102.1,*,*,*,*,3.84,3.84,122000000,1370000000000000000000000000000,*
1661,J1822-1604,15.353,-1.021,8.437721,2.14E-14,0.118515,*,*,*,*,*,*,*,6260000,1400000000000000000000000000000,*
272,J0806-4123,257.426,-4.983,11.370386,5.56E-14,0.087948,*,*,*,*,*,*,*,3240000,1490000000000000000000000000000,*
56,B0105+68,124.461,6.277,1.071118,4.81E-17,0.933604,61.09,*,*,*,*,2.59,2.59,353000000,1550000000000000000000000000000,*
1755,B1828-60,334.827,-21.195,1.889436,2.7E-16,0.529259,35,*,*,*,*,1.85,1.85,111000000,1580000000000000000000000000000,*
2365,J2015+2524,65.027,-5.261,2.303299,5.1E-16,0.43416,13,*,*,*,*,0.69,0.69,71600000,1650000000000000000000000000000,*
256,J0737-3039B,245.236,-4.505,2.773461,8.92E-16,0.36056,48.92,DD,0.1023,1.5161,NS[lbk+04],1.1,0.57,49200000,1650000000000000000000000000000,4.374
1621,J1817-1938,11.623,-1.617,2.046838,3.6E-16,0.488559,519.6,*,*,*,*,10.74,10.74,90100000,1660000000000000000000000000000,*
2054,B1901+10,43.433,1.865,1.85657,2.76E-16,0.538628,135,*,*,*,*,4.03,4.03,107000000,1700000000000000000000000000000,*
896,J1601-5244,329.448,0.065,2.559357,7.21E-16,0.390723,273,*,*,*,*,5.14,5.14,56300000,1700000000000000000000000000000,*
957,J1620-5414,330.467,-2.943,1.15636,6.74E-17,0.864782,71,*,*,*,*,1.73,1.73,272000000,1720000000000000000000000000000,*
1953,J1852+0305,35.804,1.16,1.326149,1.02E-16,0.754063,320,*,*,*,*,6.73,6.73,206000000,1730000000000000000000000000000,*
1582,J1811-1049,18.712,3.83,2.623859,8E-16,0.381118,253.3,*,*,*,*,8.5,8.5,52000000,1750000000000000000000000000000,*
1428,J1750-2043,7.591,3.331,5.639047,7.95E-15,0.177335,239,*,*,*,*,5.69,5.69,11200000,1750000000000000000000000000000,*
926,J1611-5847,326.465,-5.409,0.35455,2.01E-18,2.820474,79.9,*,*,*,*,2.33,2.33,2790000000,1780000000000000000000000000000,*
1317,J1739-1313,12.794,9.297,1.215698,8.17E-17,0.822573,58.2,*,*,*,*,2.02,2.02,236000000,1800000000000000000000000000000,*
1198,J1715-3247,353.211,3.296,1.260214,9.2E-17,0.793516,164,*,*,*,*,3.91,3.91,217000000,1810000000000000000000000000000,*
842,J1539-6322,320.488,-6.39,1.630846,2.02E-16,0.613179,163.5,*,*,*,*,7.75,7.75,128000000,1830000000000000000000000000000,*
605,J1312-6400,305.195,-1.235,2.437432,6.83E-16,0.410268,93,*,*,*,*,2.21,2.21,56500000,1860000000000000000000000000000,*
2452,J2143+0654,62.655,-33.139,9.428229,4.09E-14,0.106064,*,*,*,*,*,*,*,3650000,1930000000000000000000000000000,*
1900,J1846-7403,320.674,-25.65,4.878839,6.06E-15,0.204967,97,*,*,*,*,4.07,4.07,12800000,2060000000000000000000000000000,*
2423,J2111+2106,69.398,-18.205,3.953853,3.24E-15,0.252918,59.74,*,*,*,*,5.64,5.64,19300000,2070000000000000000000000000000,*
